id,age,income_level,debt_level,region,loan_access,data_accuracy,misidentified_vulnerability,access_to_bank_account,access_to_credit_card,access_to_insurance,financial_literacy_score,vulnerable,savings_amount,income_stability,credit_score,loan_history,late_payments_yearly,bankruptcies_filed,credit_utilisation_ratio,access_to_counselling,financial_shocks_annual,marital_status,no_dependents,creditworthy,monthly_expenses,access_financial_education,has_emergency_savings,financially_resilient,employment_status
d5a4ec26-3615-45a5-868d-7359fc0302f0,46,89484.49,10909.28,Suburban,TRUE,Accurate,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,Employed
b59d6c82-b9a0-4cf4-ae57-7edff2451250,80,75860.61,4144.29,Rural,TRUE,Accurate,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,Student
3ea8ca83-a07e-46de-a718-9c9c097e5c07,52,9589.85,1453.86,Suburban,FALSE,Outdated,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,Self-employed
77e32f86-8fba-4f46-ab0d-aebe45e54c6b,52,8848.68,31933.44,Urban,TRUE,Outdated,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,Student
724e2fed-f0ae-4e93-a681-c772c4b9415c,48,13823.01,7271.22,Urban,FALSE,Outdated,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,Self-employed
a162e743-d64a-43e6-a5fa-b3c09bf1a195,60,63086,44717.17,Suburban,TRUE,Outdated,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,Employed
6735fa47-1c94-4ab9-baa8-5cdc241b971d,42,98146.76,28554.97,Suburban,TRUE,Accurate,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,Student
a01c1c1a-4685-438c-bb51-7c57840cfe31,45,64303.24,13489.14,Suburban,FALSE,Accurate,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,Student
7a683466-9c55-4d7c-8ee0-4bb7af4daf1b,31,11447.73,43359.24,Urban,FALSE,Accurate,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,Student
1c0559c6-2528-4813-9357-8b199a06c6b9,27,60181.68,22343.2,Urban,TRUE,Accurate,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,Employed
